,desc
0,Answer: Very High
1,Medium
2,Answer: High
3,Low
4,Medium
5,High
6,High
7,Medium
8,Low
9,High
10,High
11,Answer: Low
12,High
13,Answer: High
14,Answer: Medium
15,Medium
16,Medium
17,High
18,Low
19,Very Low
20,Medium
21,Low
22,Answer: Very Low
23,Based on Popowice being a neighborhood of Wrocław—a major regional capital with strong economic activity—the appropriate class is: High
24,Low
25,High
26,Medium
27,Low
28,Medium
29,"Based on its proximity to the Toruń–Bydgoszcz economic corridor and the fact that Toruński County sits around the Polish average in GDP per capita Toporzysko in Gmina Zławieś Wielka would be classified as:  
Answer: Medium"
30,Very Low
31,Answer: Low
32,Very Low
33,Low
34,Very Low
35,Low
36,"Radzie Wydminy Giżycki Warmińsko-mazurskie POL  
Answer: Very Low"
37,Answer: Very High
38,Answer: Medium
39,Low
40,Low
41,Answer: Medium
42,High
43,Answer: Medium
44,Answer: Very Low
45,Answer: Medium
46,Very Low
47,Very Low
48,Answer: Very Low
49,Medium
50,Very Low
51,Very Low
52,Very Low
53,Answer: Low
54,Answer: Low
55,Low
56,Very Low
57,Answer: Very Low
58,Answer: Very High
59,High
60,High
61,Low
62,Answer: Medium
63,Answer: Low
64,Low
65,Medium
66,Very High
67,High
68,Answer: Medium
69,Low
70,Medium
71,Low
72,Low
73,Based on Košice Region’s overall economic output (placing it in the mid‐range among Slovakia’s eight kraje) the appropriate class is: Medium.
74,High
75,Answer: Medium
76,Medium
77,Low
78,Answer: Medium
79,Answer: Medium
80,Medium
81,"Based on its total‐GDP ranking (roughly €17 bn below South Moravia’s “High” but above the smaller regions) Pardubický kraj falls into the Medium class.  
Answer: Medium"
82,Answer: Medium
83,Medium
84,Based on its overall output (Zlínský kraj ranks below the top Czech regions like Praha or Středočeský but well above the very smallest EU‐border regions) I would classify Zlín Region’s GDP as Medium.
85,Answer: Medium
86,Very High
87,Answer: High
88,Based on Fejér county’s relatively strong industrial and economic performance (Székesfehérvár’s sectoral base good infrastructure and proximity to Budapest) the region’s GDP class is best judged as High.
89,High
90,Medium
91,High
92,Medium
93,Answer: Low
94,Answer: Medium
95,Answer: Low
96,Answer: Medium
97,Low
98,Low
99,Answer: High
100,Low
101,Based on its location in Szabolcs-Szatmár-Bereg—one of Hungary’s poorest largely rural peripheral counties—its regional GDP would fall into the Very Low class.
102,Answer: Low
103,Low
104,Answer: Medium.
