,desc
0,High
1,Very High
2,High
3,High
4,Answer: Very High
5,High
6,High
7,Based on Szczyrk’s solid year-round and seasonal tourism economy its location in a relatively developed part of Silesia and the generally strong workforce engagement in the area the labour force participation rate at Osiedle Zapelenica 43-370 Szczyrk (Bielski Śląskie) would be classified as: High.
8,High
9,Answer: Medium
10,Answer: Medium
11,"Based on its location in a small rural village of Świętokrzyskie—an agrarian‐leaning below‐average GDP region similar in profile to Lubelskie—the labour force participation rate most closely aligns with the “Medium” benchmark.  
Answer: Medium"
12,Based on its location in a moderately developed predominantly rural county of Kujawsko-pomorskie—with labour-market characteristics broadly similar to other mid-Poland districts (e.g. Zamojski in Lubelskie which we rated Medium)—Dębowa Łąka’s labour‐force participation rate is best classified as Medium.
13,High
14,Based on its location—a small rural village in the Tuchola Forest area of Kujawsko-Pomorskie away from major urban centres—and comparing it to similar Polish localities (e.g. eastern-rural Lubelskie sites rated “Medium” and more remote northern areas likely below the high-participation western/central norm) the labour force participation rate for Wysoka (Cekcyn Tucholski Kujawsko-pomorskie) is most consistent with a Medium classification.
15,High
16,High
17,Very High
18,High
19,High
20,Based on its location in a relatively less‐developed rural part of Podlaskie (albeit within commuting distance of Białystok) and by analogy with other eastern provinces’ small villages Studzianki’s labour‐force participation most closely aligns with the “Medium” benchmark.
21,"Based on its location—a small village in Grodzisk Wielkopolski district Wielkopolskie Voivodeship within easy commuting distance of Poznań—Kotusz is likely to combine local agricultural employment with substantial out-commuting. That pattern closely matches other rural Wielkopolskie communities (e.g. Daninów Dziembowo) previously rated “High.”  

Answer: High"
22,Answer: Medium
23,Based on the regional profile of Warmińsko-mazurskie (notably below-average employment rates rural character higher out-migration) Majdany Wielkie in Ostródzki district is best classified as: Low
24,High
25,Based on its being a small relatively remote rural village in Drawski County (Zachodniopomorskie) – a region with below-national-average economic indicators – but still reflecting typical rural labour participation levels in Poland I would classify Konotop’s labour force participation rate as Medium.
26,High
27,High
28,Answer: Low
29,High
30,High
