,desc
0,Based on its location in rural Mazowieckie (which shows very strong labour‐force participation in comparable gminas) I would class ulica Ościsłowo 30A-30A 06-452 Glinojeck as Very High.
1,High
2,High. Given its location in Śląskie—a region characterized by strong industrial employment and consistently high participation rates in our benchmark set—Koszęcin’s local labour force participation would be classified as High.
3,High
4,"Based on Katowice’s status as a major urban and industrial centre with very strong labour‐market engagement the labour force participation rate class for ulica Tadeusza Kościuszki Brynów-Osiedle Zgrzebnioka Katowice is:

Very High"
5,High
6,Based on its location in the Śląskie region (an industrial area with above‐average labour‐market engagement) and by analogy with the other Śląskie examples (e.g. Częstochowa Rokitno Szlacheckie) the labour force participation rate for osiedle na Wzgórzu 69 Rydułtowy Górne would be classified as: High.
7,"Based on its location – a small‐scale rural community in Jarosławski (Podkarpackie) similar to other Polish villages in Lubelskie or Łódzkie that we’ve benchmarked as “Medium” – the most consistent class for the labour force participation rate here is:

Answer: Medium"
8,Based on its semi‐rural suburban character near Olsztyn but still within one of Poland’s lower‐participation voivodeships Ramsowo’s labour‐force participation would best be classed as Medium.
9,Answer: Medium
10,Based on its rural setting in Wąbrzeźno County (Kujawsko-Pomorskie)—comparable to other small Polish villages like Czołki (Lubelskie) or Łazy Dąbrowa (Łódzkie) which we rated “Medium”—Dębowa Łąka’s labour force participation also falls into the Medium category.
11,"Considering Barcin’s size (a small town of roughly 7 000 inhabitants in a predominantly rural county) its local economy (a mix of light industry agriculture and services) and its distance from the major employment centres of Bydgoszcz and Toruń (around 50 km) we would expect labour‐force participation here to track close to the national‐average for small towns rather than the elevated levels of larger cities or the depressed rates of very remote villages.  Against our five‐class Czech/Polish benchmark Barcin thus falls solidly into the “Medium” category.  

Answer: Medium"
12,Answer: Medium
13,Answer: High
14,Based on its small‐town/rural character in Kujawsko‐Pomorskie and by comparison with similar Polish localities the labour force participation rate for Wieniec Zalesie is best classed as Medium.
15,High
16,Based on regional labour‐market characteristics in Wielkopolskie (one of Poland’s strongest voivodeships for labour‐force engagement) and by analogy with similarly sized rural communities near Piła the labour force participation rate in Dziembowo (Gmina Kaczory Pilski Wielkopolskie) would be classified as: High.
17,Answer: High
18,High
19,Based on its location in the economically stronger Wielkopolskie region—albeit in the surrounding rural gmina of a mid-sized city—and by analogy with similarly placed settlements in Śląskie and Lubuskie the labour-force participation there would be classified as High.
20,Answer: Medium
21,Based on its location in a relatively prosperous labour‐active Greater Poland (Wielkopolskie) rural district Kotusz would most likely fall into the “High” labour‐force participation category.
22,Medium
23,Based on its rural character in a relatively less‐developed province (Warmia-Mazury) yet following the pattern of other small Polish villages (e.g. Czołki Łazy Dąbrowa) showing mid-range activity Majdany Wielkie’s labour-force participation would be classified as: Medium.
24,Based on its location in a moderately developed rural district of West Pomerania (Drawski) – comparable to other non‐urban villages in Lubuskie Śląskie or Małopolskie that we’ve pegged at “High” – Konotop’s labour force participation rate would likewise fall into the High class.
25,Based on its location in the economically active Goleniów–Szczecin commuter area and the generally high labour‐force participation observed in that part of Zachodniopomorskie I would classify ulica Bolechowo Goleniów gmina as Very High.
26,High
27,"Based on the comparable rural Polish locations (Lubelskie and Łódzkie both pegged “Medium”) and Podlaskie’s similar socio‐economic profile I’d classify Łopienie-Zyski’s labour‐force participation as:  
Medium"
28,"Based on its location—a small village in the relatively prosperous Lower Silesian region but still a rural area—the labour‐force participation in Mojesz is likely above average but not at the very top.  
Answer: High"
29,"Based on its location—a small village in the prosperous mining‐driven Lubin area of Lower Silesia—and by analogy with similar rural communities near mid-sized industrial centres in Poland Rynarcice’s labour‐force participation would be classified as:

High"
30,Answer: Very High
31,"Based on Wolibórz’s location in the relatively prosperous labour‐market–active Lower Silesian region (close to Nowa Ruda/Kłodzko with cross-border and tourism employment opportunities) and by analogy with other rural localities in Dolnośląskie scoring “High” the most appropriate class is:

Answer: High"
32,Based on Popowice being a built-up urban district of Wrocław (one of Poland’s major economic centres) with strong employment opportunities and high labour‐market engagement its labour force participation rate would be classified as “Very High.”
33,"Based on the address’s placement in a rural village (Szczedrzyk) that lies within commuting distance of the regional centre Opole (via the gmina of Ozimek in Opolskie) and by analogy with similarly situated villages in Silesian and Lubuskie voivodeships (which were rated “High”) I infer the labour-force participation rate class here to be:  
Answer: High"
34,High
35,Based on its rural setting in Sieradz County (Łódzkie voivodeship) and by analogy with the other Łódzkie‐area example (Łazy Dąbrowa → Medium) Wola Będkowska’s labour‐force participation falls into the Medium class.
36,Based on its setting—a small rural settlement in Łódzkie province (similar to Łazy Dąbrowa in Piotrkowski powiat)—Opole (Parzęczew gmina) would be classified as Medium.
37,"Based on its location in a major urban centre (the Stary Widzew district of Łódź) and by analogy with other inner‐city areas (e.g. Dąbie in Szczecin which is rated “Very High”) the labour force participation rate for this address would be classified as:

Answer: Very High"
38,Medium
39,"Based on the rural low‐density character of the Bory Tucholskie area (despite its inclusion in a gmina with a small town seat) and by analogy with similar Polish rural districts that tend to cluster around the mid‐range participation values I would classify its labour force participation rate as:

Answer: Medium"
40,High
41,Based on Przymorze Małe’s location in the urban economically active Tri-City region of Gdańsk (Pomorskie)—characterized by strong labour markets high service‐sector employment and above‐average participation rates—the labour force participation rate class is: Very High.
42,Answer: High
43,High
44,Answer: Medium
45,"Answer: High  
Rationale: Świdnica is a rural locality in Zielonogórski powiat of Lubuskie. In our benchmark the Lubuskie countryside (e.g. Bolemin Deszczno) scores “High” on labour‐force participation—above the national median but below the very highest Masovian/urban levels—so Świdnica is best classed as High."
46,Based on its location in the highly active Mazowieckie labor market (close to Płock and within commuting distance of larger employment centers) Trzepowo Nowe would fall into the “Very High” labour‐force‐participation category.
47,Based on its location in a rural part of Maków County (Mazowieckie) – a region with relatively strong labour‐market ties (commuting possibilities to mid-size towns and even Warsaw) yet without the extreme urban pull of Siedlce or Warsaw suburbs – Modzele’s labour‐force participation would be expected above the Polish rural average but not at the very top.  I therefore classify it as: High.
48,Based on its location in the Masovian Voivodeship (a generally highly active labour‐market region) and by analogy with other rural Mazovian sites (e.g. Niwiski/Mokobody rated “Very High”) Ciemno Gnojna most likely falls into the “Very High” labour‐force participation category.
49,Based on Radom’s size economic structure and its position (outside the Warsaw commuter belt) its labour‐force participation would align with the “High” class.
50,Based on its location in rural Świętokrzyskie – a province with labour‐force participation rates similar to those seen in Lubelskie and Łódzkie – I’d assign Gruszka Zagnańsk a “Medium” participation level.
51,Based on Podkarpackie’s generally below-average economic activity and labour participation (it ranks among Poland’s less developed regions) Świlcza in Rzeszowski County would fall into the “Low” class.
52,Based on its location—a small remote village in one of Poland’s less‐developed mountain‐border voivodeships with below-average workforce engagement—the labour force participation in Bełchówka is best classified as Low.
53,High
54,Medium
55,Answer: High
56,Medium
57,Answer: High
58,Very High
59,Answer: High
60,High
61,Answer: Very High
62,Answer: Very High
63,Based on its urban economically active population within Warsaw Praga-Południe’s labour‐force participation would be classified as Very High.
64,Very High
65,Answer: Very High
66,High
67,Based on Trenčín’s relatively strong industrial base above-average employment rates and labour-market indicators (second only to Bratislava within Slovakia) its labour-force participation would be classified as High.
68,Answer: Very Low
69,Based on the village’s rural setting in the Žilina Region (Orava area) yet its proximity to the district town of Dolný Kubín—and comparing with the benchmark pattern across CZE HUN POL and neighbouring Slovak areas—Žaškov’s labour‐force‐participation rate most closely aligns with the “Medium” class.
70,Low
71,Based on Prešov’s status as one of Slovakia’s less‐developed higher‐unemployment regions (similar to Poland’s Lubelskie when rural localities there were classed “Medium”) and given that even its rural labour-force participation hovers in the mid-60 percent range Terňa would best be classified as Medium.
