area_id,score,ground_truth
PL213,Very High,18127.1
PL214,High,7740.73
PL217,Medium,4036.36
PL218,Medium,4791.43
PL219,Medium,2762.39
PL21A,Medium,5624.33
PL224,Medium,6258.67
PL225,Medium,9452.34
PL227,Medium,7702.08
PL228,Low,4445.67
PL229,Medium,7775.68
PL22A,High,13651.26
PL22B,Low,8630.03
PL22C,Medium,6441.87
PL411,Low,4218.78
PL414,Low,7250.15
PL415,High,14979.24
PL416,Medium,8275.79
PL417,Low,6910.22
PL418,Low,11071.54
PL424,High,6604.7
PL426,Low,3992.95
PL427,Very Low,3444.12
PL428,Medium,5551.52
PL431,Low,4284.7
PL432,Low,7116.19
PL514,High,15573.34
PL515,Low,5908.14
PL517,Low,6437.37
PL518,Low,8321.86
PL523,Medium,3066.85
PL524,Low,7729.08
PL613,Medium,10789.85
PL616,Low,3617.0
PL617,Low,3246.09
PL618,Low,2021.36
PL619,Low,3222.53
PL621,Low,4777.66
PL623,Low,2219.66
PL633,High,15609.61
PL634,Medium,5986.51
PL636,Low,3435.65
PL637,Low,1994.35
PL638,Medium,4518.21
PL711,Medium,12294.68
PL712,Low,4482.73
PL713,Low,7554.62
PL714,Low,4244.46
PL715,Low,3545.25
PL721,Low,8151.09
PL722,Very Low,4119.23
PL811,Very Low,2473.82
PL812,Very Low,4481.94
PL814,Low,9029.0
PL815,Low,4063.63
PL821,Very Low,3849.72
PL822,Very Low,2802.1
PL823,Low,7883.17
PL824,Very Low,6283.03
PL842,Very Low,3602.97
PL843,Very Low,2336.68
PL912,Low,7498.75
PL913,High,12783.67
PL922,Very Low,3619.65
PL923,Low,7160.67
PL924,Very Low,3915.11
PL926,Very Low,3040.11
SK010,Very High,26559.8
SK021,High,11060.43
SK022,High,8160.91
SK023,Medium,10023.67
SK031,High,10700.92
SK032,Low,8097.64
SK041,Low,8732.32
SK042,Medium,11094.05
CZ010,Very High,61601.72
CZ020,Very High,26752.43
CZ032,High,10909.61
CZ041,Low,3897.85
CZ042,Medium,12384.52
CZ051,Medium,7115.84
CZ052,Medium,10319.46
CZ063,Medium,8628.12
CZ064,High,23774.9
CZ071,High,10327.65
CZ072,Low,10445.01
CZ080,High,19857.55
HU110,Very High,54785.49
HU120,High,15287.32
HU211,High,6203.95
HU212,High,4540.12
HU213,Low,3910.52
HU221,High,8058.45
HU222,Medium,3387.52
HU223,Low,2979.01
HU231,Low,3635.99
HU232,Low,2837.42
HU311,Low,6626.58
HU312,Very Low,3310.82
HU313,Very Low,1239.99
HU321,Medium,5633.98
HU322,Low,3502.54
HU331,Low,6089.62
HU332,Very Low,2870.6
HU333,Medium,4410.3
