area_id,score,ground_truth
PL213,Very High,18127.1
PL214,Medium,7740.73
PL217,High,4036.36
PL218,High,4791.43
PL21A,Medium,5624.33
PL225,High,9452.34
PL227,Very High,7702.08
PL228,Low,4445.67
PL229,High,7775.68
PL22A,Very High,13651.26
PL22C,Very High,6441.87
PL411,Medium,4218.78
PL414,Medium,7250.15
PL415,Very High,14979.24
PL416,Medium,8275.79
PL417,Medium,6910.22
PL418,Medium,11071.54
PL426,Low,3992.95
PL427,Low,3444.12
PL428,Medium,5551.52
PL432,Low,7116.19
PL514,Very High,15573.34
PL515,Low,5908.14
PL516,Very High,7730.94
PL517,Low,6437.37
PL518,High,8321.86
PL523,Low,3066.85
PL524,Medium,7729.08
PL613,Low,10789.85
PL616,Low,3617.0
PL617,Low,3246.09
PL618,Low,2021.36
PL619,Low,3222.53
PL621,Low,4777.66
PL622,Low,6544.07
PL623,Low,2219.66
PL633,Very High,15609.61
PL634,Low,5986.51
PL636,Low,3435.65
PL637,Low,1994.35
PL638,Medium,4518.21
PL711,Very High,12294.68
PL712,Very High,4482.73
PL714,High,4244.46
PL715,Low,3545.25
PL721,Low,8151.09
PL722,Low,4119.23
PL811,Low,2473.82
PL814,Low,9029.0
PL815,Low,4063.63
PL821,Very Low,3849.72
PL822,Low,2802.1
PL823,Medium,7883.17
PL824,Medium,6283.03
PL841,Low,5881.4
PL842,Very Low,3602.97
PL843,Very Low,2336.68
PL911,Very High,73143.29
PL912,Medium,7498.75
PL913,Very High,12783.67
PL921,High,5931.17
PL922,Low,3619.65
PL923,Low,7160.67
PL924,Low,3915.11
PL926,Low,3040.11
SK010,Very High,26559.8
SK021,High,11060.43
SK022,Medium,8160.91
SK023,High,10023.67
SK031,Medium,10700.92
SK032,Medium,8097.64
SK041,Very Low,8732.32
SK042,High,11094.05
CZ010,Very High,61601.72
CZ020,Very High,26752.43
CZ031,High,10929.92
CZ032,Medium,10909.61
CZ041,Very Low,3897.85
CZ042,Medium,12384.52
CZ051,High,7115.84
CZ052,Very High,10319.46
CZ063,Very High,8628.12
CZ064,Very High,23774.9
CZ071,Very High,10327.65
CZ072,High,10445.01
CZ080,Very High,19857.55
HU110,Very High,54785.49
HU120,Very High,15287.32
HU211,High,6203.95
HU212,Very High,4540.12
HU213,High,3910.52
HU221,Very High,8058.45
HU222,High,3387.52
HU223,Medium,2979.01
HU231,High,3635.99
HU232,Medium,2837.42
HU233,Medium,2460.92
HU311,Medium,6626.58
HU312,Medium,3310.82
HU313,Low,1239.99
HU321,High,5633.98
HU322,Medium,3502.54
HU331,Medium,6089.62
HU332,Medium,2870.6
HU333,High,4410.3
