area_id,score,ground_truth
PL213,Very High,766683.0
PL214,High,725128.0
PL217,Low,452713.0
PL219,Very High,335414.0
PL21A,High,546208.0
PL224,Very High,510139.0
PL225,Medium,661228.0
PL227,High,622483.0
PL228,Low,431037.0
PL229,Medium,463141.0
PL22A,Very High,733268.0
PL22B,High,675084.0
PL22C,Medium,392618.0
PL415,Very High,535946.0
PL416,High,665874.0
PL417,Low,554079.0
PL418,High,658508.0
PL424,Very High,400859.0
PL426,Low,350291.0
PL427,Very Low,418331.0
PL428,Medium,506021.0
PL431,Low,380438.0
PL432,Very Low,622872.0
PL514,Very High,638659.0
PL515,Very Low,552576.0
PL516,Medium,442785.0
PL518,Low,589426.0
PL523,Medium,363713.0
PL524,High,582325.0
PL613,High,771746.0
PL616,Low,383322.0
PL617,Medium,359520.0
PL618,Very Low,185908.0
PL619,Low,354937.0
PL621,Medium,517268.0
PL622,High,606469.0
PL623,Low,280704.0
PL633,Very High,745972.0
PL634,High,582378.0
PL636,Low,328934.0
PL637,Very Low,222635.0
PL638,Medium,425158.0
PL711,Very High,684915.0
PL712,High,385629.0
PL713,Low,581062.0
PL715,Low,358822.0
PL721,Low,753544.0
PL722,Low,472699.0
PL811,Low,298352.0
PL814,High,709993.0
PL815,Medium,473468.0
PL821,Medium,471161.0
PL822,Low,384141.0
PL823,High,631399.0
PL824,High,599434.0
PL841,High,505188.0
PL842,Low,383563.0
PL843,Very Low,263323.0
PL911,Very High,1775986.0
PL913,Medium,639267.0
PL921,Very High,605972.0
PL922,Low,338306.0
PL923,Low,325475.0
PL924,High,381313.0
PL925,Low,417565.0
PL926,Low,258576.0
SK010,Medium,659598.0
SK021,High,563591.0
SK022,Medium,585882.0
SK023,High,676672.0
SK031,High,691368.0
SK032,Low,647874.0
SK041,Medium,825022.0
SK042,High,800414.0
CZ020,Very High,1369332.0
CZ031,High,642133.0
CZ032,Medium,584672.0
CZ041,Very Low,294896.0
CZ042,High,820789.0
CZ051,Medium,442356.0
CZ052,Medium,551021.0
CZ053,Medium,520316.0
CZ063,High,509274.0
CZ071,Medium,632492.0
CZ072,Medium,582921.0
CZ080,Very High,1203299.0
HU110,Very High,1722363.0
HU120,Very High,1270416.0
HU211,Medium,417568.0
HU212,Low,301371.0
HU213,Medium,341367.0
HU221,Very Low,457331.0
HU222,Very Low,249429.0
HU223,Very Low,266827.0
HU231,High,363203.0
HU232,High,299253.0
HU233,Very Low,215946.0
HU311,High,644955.0
HU312,Very Low,293185.0
HU321,High,525661.0
HU322,High,368531.0
HU323,Very High,545799.0
HU331,High,501836.0
HU332,Medium,329742.0
HU333,High,398444.0
