,desc
0,"Based on the settlement’s rural character within Ciechanowski County and by analogy with similarly sized Mazowieckie villages (which we’ve classified as “Low” in tertiary‐education share) the expected share of university graduates in ulica Ościsłowo 30A Glinojeck gmina is:  
Answer: Low"
1,"Based on Kobiór’s location—a small semi-rural gmina lying within the strong highly industrialized Silesian metro area (close to Tychy Pszczyna and ultimately Katowice) its role as a commuter belt community and by analogy with other villages near larger cities (e.g. Ramsowo near Olsztyn or Studzianki near Białystok both rated “High”)—we would likewise classify the share of university-educated residents in Kobiór as:

Answer: High"
2,Answer: Low
3,Low
4,Answer: Very High
5,Low
6,Based on the location—Głogowa Street in Częstochowa a mid‐sized Silesian city with a regional university but below the major‐metropolis level—the share of university‐educated residents is best classified as Medium.
7,Answer: Low
8,Based on its profile as a small post‐industrial Silesian town (no major university campus on‐site) historical mining‐region demographics and comparison with similarly sized Polish localities the share of university‐educated residents in Osiedle na Wzgórzu (Rydułtowy Górne Wodzisławski Śląskie) would most plausibly fall into the “Low” class.
9,Low
10,Low
11,Low
12,Low
13,Low
14,"Based on its location in the commuter belt of Toruń (a major regional university city) and by analogy with similarly situated rural‐suburban districts around voivodeship capitals (e.g. Ramsowo near Olsztyn Studzianki near Białystok both rated “High”) Toporzysko in the Zławieś Wielka–Toruński district would likewise be expected to have a relatively large share of university‐educated residents. 

Answer: High"
15,Answer: Medium
16,Based on its rural setting within Konin County (Wielkopolskie) and by comparison with similar Polish village‐level districts (e.g. Rynarcice Niwiski rated “Low”) Daninów is best classified as Low.
17,Low
18,Answer: Very High
19,Based on its location in the relatively prosperous Wielkopolskie region its proximity to the mid‐sized town of Wronki (with local industry and good transport links to Poznań) and by analogy with similarly sized villages around regional centres that we scored as “High” Chojno (Wronki Szamotulski Wielkopolskie) would likewise be classified as: High.
20,Based on its location in the Ostrowski district (a mid‐sized mixed urban–rural county centered on Ostrów Wielkopolski in Wielkopolskie) and comparing to the benchmarks above the share of university‐educated residents is best classed as Medium.
21,Low
22,Based on its location in a small rural Warmian-Masurian commune with limited higher-education–driven employment and drawing parallels to similarly sized Polish villages (e.g. Rynarcice or Niwiski) Radzie is best classed as having a Low proportion of university‐educated residents.
23,"Based on its very rural character small‐town catchment (Miłomłyn/Ostródzki rather than a major urban center) and the generally below‐average tertiary attainment in this subregion of Warmińsko‐mazurskie Majdany Wielkie should be classed as:  
Answer: Low"
24,Based on Szczecin’s status as a large regional‐capital city (and thus higher overall educational attainment than medium‐sized cities like Radom) even if the Dąbie quarter isn’t the very top‐end neighbourhood it still sits above the “Medium” band typical of 200k-level cities. I’d therefore place Dąbie 1 in Szczecin at: High
25,Low
26,Answer: Low
27,Answer: High
28,Based on its small size rural character in Wysokomazowiecki (a relatively low‐education‐attainment county in Podlaskie) and its distance from larger educational centres Łopienie-Zyski would fall into the “Low” class.
29,Based on its location in a small predominantly rural county with limited higher‐education pull factors (Lwówek Śląski powiat in Dolnośląskie) Mojesz would be classified as Low.
30,High
