area_id,score,ground_truth
PL922,Medium,428
PL22C,High,1363
PL228,Medium,850
PL229,Medium,1459
PL22A,High,2786
PL22B,High,1664
PL224,High,805
PL225,High,1542
PL227,Medium,1681
PL822,Low,512
PL622,Medium,1252
PL722,Low,459
PL616,Low,863
PL617,Medium,605
PL618,Low,370
PL613,Medium,2190
PL619,Medium,473
PL415,High,2221
PL418,Medium,2165
PL416,Medium,1643
PL841,Low,1109
PL417,Medium,1615
PL623,Low,512
PL621,Low,1098
PL424,High,986
PL427,Medium,675
PL428,Medium,1027
PL426,Medium,938
PL842,Low,720
PL515,Medium,1049
PL516,Medium,1643
PL518,Medium,1755
PL514,High,2382
PL524,Medium,1495
PL523,Medium,591
PL713,Medium,1057
PL712,Medium,734
PL711,High,1993
PL715,Medium,658
PL637,Low,578
PL638,Medium,689
PL633,High,2046
PL634,Medium,948
PL636,Medium,887
PL843,Low,424
PL431,Medium,700
PL432,Medium,1454
PL923,Medium,499
PL925,Medium,653
PL924,Medium,493
PL926,Medium,355
PL921,High,729
PL721,Medium,1709
PL823,Medium,1169
PL821,Low,775
PL824,Medium,875
PL811,Low,392
PL814,Low,1728
PL815,Low,639
PL217,High,568
PL214,Medium,834
PL219,Medium,295
PL21A,Medium,967
PL213,High,2144
PL911,High,5853
PL913,High,1089
SK010,High,726
SK021,High,1213
SK022,High,1847
SK023,Low,1252
SK031,Low,1420
SK032,Medium,1332
SK041,Low,1359
SK042,High,1013
CZ020,High,4329
CZ080,Very High,4442
CZ031,Medium,3295
CZ032,High,3008
CZ041,Medium,1027
CZ042,High,3513
CZ051,Medium,1584
CZ052,High,2473
CZ053,Medium,2281
CZ063,Medium,2561
CZ071,Medium,2364
CZ072,High,2360
HU110,Very High,4093
HU120,Medium,2694
HU211,Very Low,1435
HU212,Medium,1055
HU213,Very Low,848
HU221,Medium,1460
HU222,Very Low,749
HU223,Low,481
HU231,Very Low,964
HU232,Very Low,715
HU233,Low,535
HU311,High,1422
HU312,Low,837
HU321,Low,1068
HU323,Low,1055
HU322,Low,944
HU331,Low,1424
HU332,Very Low,650
HU333,Medium,889
