area_id,score,ground_truth
PL922,Very Low,428
PL22C,Very Low,1363
PL228,Very Low,850
PL229,High,1459
PL22A,High,2786
PL225,Low,1542
PL227,High,1681
PL822,Very Low,512
PL622,Very Low,1252
PL722,Very Low,459
PL616,Very Low,863
PL617,Low,605
PL618,Very Low,370
PL613,Very Low,2190
PL619,Very Low,473
PL414,High,1327
PL411,Very Low,1069
PL415,Medium,2221
PL418,Low,2165
PL416,Very Low,1643
PL841,Very Low,1109
PL417,Very Low,1615
PL623,Very Low,512
PL621,Very Low,1098
PL427,Very Low,675
PL428,Very Low,1027
PL426,Very Low,938
PL842,Very Low,720
PL515,Very Low,1049
PL516,High,1643
PL518,High,1755
PL517,Low,1330
PL514,High,2382
PL524,Low,1495
PL523,Low,591
PL714,Very Low,648
PL712,High,734
PL711,High,1993
PL715,Very Low,658
PL637,Very Low,578
PL638,Very Low,689
PL633,Medium,2046
PL634,Low,948
PL636,Very Low,887
PL843,Very Low,424
PL432,Very Low,1454
PL923,Very Low,499
PL924,Very Low,493
PL926,Very Low,355
PL921,Medium,729
PL721,Very Low,1709
PL823,Very Low,1169
PL821,Very Low,775
PL824,Very Low,875
PL811,Very Low,392
PL814,Very Low,1728
PL815,Very Low,639
PL217,High,568
PL214,Low,834
PL218,Low,678
PL21A,Very Low,967
PL213,Medium,2144
PL912,Very Low,690
PL911,High,5853
PL913,Low,1089
SK010,Low,726
SK021,Medium,1213
SK022,Medium,1847
SK023,Very Low,1252
SK031,Medium,1420
SK032,Very Low,1332
SK041,Low,1359
SK042,High,1013
CZ010,Low,6979
CZ020,Low,4329
CZ080,Very High,4442
CZ031,Low,3295
CZ032,Medium,3008
CZ041,Medium,1027
CZ042,High,3513
CZ051,Medium,1584
CZ052,Medium,2473
CZ063,Medium,2561
CZ064,High,4336
CZ071,Medium,2364
CZ072,High,2360
HU110,High,4093
HU120,Low,2694
HU211,Very Low,1435
HU212,Medium,1055
HU213,Medium,848
HU221,Very Low,1460
HU222,Medium,749
HU223,Low,481
HU231,Medium,964
HU232,High,715
HU233,Very Low,535
HU311,High,1422
HU312,Very Low,837
HU313,High,424
HU321,High,1068
HU322,Low,944
HU331,Medium,1424
HU332,High,650
HU333,Medium,889
