area_id,score,ground_truth
PL922,Medium,18.9
PL22C,High,23.2
PL228,Medium,21.0
PL229,Medium,23.8
PL22A,High,25.5
PL22B,Medium,23.7
PL224,Medium,23.4
PL225,Medium,22.5
PL227,Medium,18.6
PL822,Low,20.1
PL722,Low,18.9
PL616,Medium,15.3
PL617,Medium,15.7
PL618,Medium,14.1
PL613,Medium,27.6
PL619,Medium,17.1
PL414,Medium,18.5
PL411,Medium,17.2
PL415,Very High,39.4
PL418,Medium,26.6
PL416,Medium,18.5
PL417,Medium,17.1
PL623,Medium,17.9
PL621,Medium,17.4
PL424,High,32.7
PL427,Medium,15.9
PL428,Medium,20.8
PL426,Medium,21.6
PL842,Medium,19.3
PL515,Medium,18.2
PL518,High,23.9
PL517,Medium,18.2
PL514,High,41.8
PL524,Medium,22.3
PL523,Medium,18.1
PL714,Medium,17.8
PL713,Medium,19.4
PL712,Medium,23.2
PL711,High,30.7
PL715,Low,19.5
PL637,Medium,15.7
PL638,Medium,16.6
PL633,Very High,37.5
PL634,Medium,22.4
PL636,Medium,19.5
PL843,Medium,19.3
PL431,Medium,19.8
PL432,Medium,20.1
PL923,Medium,21.3
PL924,Low,19.3
PL926,Medium,20.8
PL721,Medium,25.3
PL823,High,26.9
PL821,Low,20.2
PL824,Low,20.0
PL811,Low,20.4
PL814,Medium,30.6
PL812,Low,19.7
PL815,Medium,19.2
PL217,Medium,19.3
PL214,Medium,23.1
PL218,Medium,18.8
PL219,Medium,16.8
PL21A,Medium,20.0
PL213,High,43.2
PL912,Medium,28.7
PL913,High,34.2
SK010,High,38.0
SK021,Medium,18.6
SK022,Low,19.4
SK023,Low,18.7
SK031,Low,20.9
SK032,Very Low,18.5
SK041,Very Low,19.2
SK042,Medium,20.2
CZ010,Very High,33.7
CZ020,Very High,16.9
CZ080,Low,15.4
CZ032,Low,14.5
CZ041,Low,9.6
CZ042,Very Low,10.4
CZ051,Low,13.2
CZ052,Medium,13.9
CZ063,Low,13.4
CZ064,Medium,20.7
CZ071,Medium,15.7
CZ072,Medium,15.6
HU110,High,38.9
HU120,Medium,24.4
HU211,Medium,19.4
HU212,Medium,17.4
HU213,Medium,18.8
HU221,Medium,20.5
HU222,Low,18.2
HU223,Low,17.8
HU231,High,19.6
HU232,Low,16.1
HU311,Low,16.1
HU312,Low,17.3
HU313,Low,13.6
HU321,Low,19.7
HU322,Low,14.8
HU331,Low,16.1
HU332,Low,15.1
HU333,Medium,1.8
